"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"松山區","臺北市松山區南京東路五段59巷28弄31~60號","住",1060613,"土地2建物1車位0","二層","三層","公寓(5樓含以下無電梯)",NA,"加強磚造",NA,70.4,2,1,1,"有","無",13000000,184659,"RPQOMLLJQHMFFDA87DA"
"南港區","臺北市南港區興華路61~90號","商",1060601,"土地1建物1車位0","四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造",950111,141.44,4,2,2,"有","有",28500000,201499,"RPSOMLSLPHMFFDA88DA"
"中山區","臺北市中山區八德路二段61~90號","住",1060625,"土地1建物1車位0","四層","十一層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",950323,33.1,1,1,1,"有","有",9380000,283384,"RPOPMLOJQHMFFCA97DA"
"中山區","臺北市中山區松江路38巷1~30號","商",1060531,"土地1建物1車位0","全","三層","透天厝","住家用","加強磚造",NA,228.87,4,2,3,"有","無",40000000,174772,"RPUPMLRJQHMFFCA88DA"
"大安區","臺北市大安區光復南路180巷31~60號","住",1060710,"土地1建物1車位0","三層，陽台","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",NA,123.1,2,2,2,"有","有",33000000,268075,"RPSNMLNJQHMFFFA28CA"
"大安區","臺北市大安區羅斯福路二段31~60號","商",1060717,"土地4建物1車位0","五層","十二層","辦公商業大樓","商業用","鋼筋混凝土造",700803,136.46,3,2,2,"有","有",36330000,266232,"RPPNMLQJQHMFFFA28CA"
"文山區","臺北市文山區木新路241~270號","住",1060718,"土地5建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,96.99,3,2,1,"有","無",10100000,104134,"RPRNMLPLQHMFFAA18DA"
"中正區","臺北市中正區南昌路二段211~240號","商",1060712,"土地2建物1車位0","五層","十二層","辦公商業大樓","商業用","鋼筋混凝土造",880524,33.75,3,1,1,"有","有",8400000,248889,"RPUOMLLJQHMFFAA97DA"
"中正區","臺北市中正區師大路181~210號","住",1060625,"土地2建物1車位0","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",701218,167.46,4,2,2,"有","有",30000000,179147,"RPVOMLLJQHMFFAA08DA"
"中正區","臺北市中正區仁愛路一段1~30號","住",1060717,"土地2建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,97.95,3,2,2,"有","有",26300000,268504,"RPQQMLOJQHMFFBA18DA"
"士林區","臺北市士林區葫蘆街7巷1~30號","住",1060703,"土地3建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",601220,73.37,0,0,0,"無","無",7280000,99223,"RPOPMLLMPHMFFEA97CA"
"北投區","臺北市北投區裕民六路90巷1弄1~30號","住",1060426,"土地1建物2車位0","全","二層","透天厝","住家用","加強磚造",580903,115.62,4,2,2,"有","無",60000000,518941,"RPQPMLLMPHMFFEA18CA"
"北投區","臺北市北投區承德路七段91~120號","住",1060712,"土地1建物1車位0","五層，電梯樓梯間","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",850919,38.06,0,0,0,"無","有",6880000,180767,"RPTPMLLMPHMFFEA48CA"
"士林區","臺北市士林區天母北路28巷31~60號","住",1060724,"土地1建物1車位0","七層","九層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",970130,41.32,1,1,1,"有","有",10000000,242014,"RPOOMLSLQHMFFEA58CA"
"大同區","臺北市大同區迪化街二段61~90號","住",1060629,"土地5建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",800125,80.35,2,2,1,"有","有",11500000,143124,"RPRNMLPJQHMFFBA08DA"
"文山區","臺北市文山區忠順街一段26巷1弄1~30號","住",1060602,"土地1建物1車位0","二層，陽台","四層","公寓(5樓含以下無電梯)",NA,"鋼筋混凝土造",NA,84.57,3,2,1,"有","無",11000000,130070,"RPQOMLKMQHMFFAA77DA"
"萬華區","臺北市萬華區環河南路一段1~30號","商",1060710,"土地1建物1車位0","十一層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",720624,40.27,1,1,1,"有","有",3000000,74497,"RPTNMLLJQHMFFBA87DA"
"大安區","臺北市大安區忠孝東路四段301~330號","商",1060524,"土地1建物1車位0","四層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,82,2,1,2,"有","有",27500000,335366,"RPSOMLPLQHMFFFA78CA"
"大安區","臺北市大安區仁愛路三段20巷1~30號","住",1060630,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","加強磚造",NA,128.95,3,2,2,"有","無",29200000,226444,"RPXNMLLJQHMFFFA58CA"
"大安區","臺北市大安區敦化南路一段232巷1~30號","住",1060608,"土地1建物2車位0","地下層","十四層","店面(店鋪)","商業用","鋼筋混凝土造",NA,265,0,2,1,"有","有",142000000,535869,"RPOOMLLJQHMFFFA77CA"
"大安區","臺北市大安區忠孝東路四段61~90號","商",1060624,"土地1建物1車位0","九層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",NA,33.15,1,1,1,"有","有",10580000,319155,"RPRNMLPJQHMFFFA48DA"
"大安區","臺北市大安區復興南路二段151~180號","商",1060702,"土地7建物1車位0","五層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,79.94,2,2,2,"有","有",18500000,231424,"RPUQMLLMPHMFFFA88DA"
"北投區","臺北市北投區行義路170巷1~30號","住",1060711,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",731227,104.85,3,2,2,"有","無",9500000,90606,"RPVOMLRJQHMFFEA09DA"
"中山區","臺北市中山區民生東路二段91~120號","商",1060713,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",651206,36.59,3,1,1,"有","有",8000000,218639,"RPVNMLMJQHMFFCA28DA"
"松山區","臺北市松山區敦化南路一段100巷7弄1~30號","住",1060603,"土地1建物1車位0","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",691020,79.93,3,4,3,"有","無",27680000,346303,"RPWPMLSJQHMFFDA66DA"
